y_label,headline,pub_date,snippet,web_url
0,"How Nancy Fire, Interior Designer, Spends Her Sundays",2019-02-01T10:00:12+0000,A lot of tea is involved. There is a walk in the North Woods of Central Park. Ms. Fire also looks for inspiration in art galleries and Chinatown.,https://www.nytimes.com/2019/02/01/nyregion/how-nancy-fire-interior-designer-spends-her-sundays.html
0,"Review: With Protest and Fire, an Oratorio Mourns a Tragedy",2019-01-25T18:50:32+0000,"Tautly structured, Julia Wolfe’s “Fire in my mouth,” about the Triangle shirtwaist factory fire, was given its premiere by the New York Philharmonic.",https://www.nytimes.com/2019/01/25/arts/music/review-new-york-philharmonic-julia-wolfe.html
0,Will a New Play Restart a Fire?,2019-01-23T15:00:04+0000,"Years after the Supreme Court ruled that New Haven unfairly treated white firefighters who were seeking promotion, “Good Faith” checks in on a wounded city.",https://www.nytimes.com/2019/01/23/theater/good-faith-new-haven-fire-department.html
0,Teenagers Charged With Setting Fire to Shakespeare Theater in Connecticut,2019-04-09T02:17:41+0000,"The fire in January reduced the historic building, opened in 1955, to a smoldering mound of mangled steel.",https://www.nytimes.com/2019/04/08/arts/shakespeare-theater-fire-stratford.html
0,Grenfell Tower Study Finds Many Toxic Chemicals Near Fire Site,2019-03-28T16:08:06+0000,"Almost a year and a half after the fire that killed 72 people, researchers found extremely high levels of substances that could pose numerous health risks.",https://www.nytimes.com/2019/03/28/world/europe/grenfell-tower-fire-chemicals-contamination.html
0,Poem: Frost on Fire,2019-02-28T10:00:01+0000,"A ballad to yearning and mortality, as biting as ice, as inscrutable as the snowy woods.",https://www.nytimes.com/2019/02/28/magazine/poem-frost-on-fire.html
0,N.Y. Fire Chief Is Removed Amid ‘Inappropriate Behavior’ Inquiry,2018-12-06T19:48:44+0000,"Chief James Leonard was relieved of his duties pending an investigation into claims he bullied co-workers, including the agency’s top female administrator.",https://www.nytimes.com/2018/12/06/nyregion/fdny-chief-reassigned-investigation.html
1,30 Die Fighting Forest Fire in China,2019-04-01T12:00:51+0000,"The death toll was believed to be the highest for firefighters in the country since 2015, after shifting winds fanned the flames in Sichuan Province.",https://www.nytimes.com/2019/04/01/world/asia/china-fire-sichuan.html
0,Teens to Be Treated as Adults in Shakespeare Theater Fire,2019-04-09T16:49:01+0000,A judge has ruled that three teenagers charged in connection with a fire that destroyed a Connecticut theater will be treated as adults.,https://www.nytimes.com/aponline/2019/04/09/us/ap-us-historic-theater-fire.html
0,McCarthy on Green Bay Firing: 'It Stunned Me',2019-04-03T15:01:29+0000,Former Green Bay Packers coach Mike McCarthy was surprised to be fired before the end of the 2018 season.,https://www.nytimes.com/reuters/2019/04/03/sports/03reuters-football-nfl-gb-mccarthy.html
