y_label,,headline,pub_date,snippet,web_url
0,0,Blizzard Clobbers Plains and Midwest After Blanketing the U.S. Rockies,2019-04-11T11:22:21+0000,A powerful blizzard slammed the U.S. Plains and Midwest on Thursday with heavy snow and fierce winds that caused power outages and closed highways while raising fears of more flooding in the Midwest after a deluge last month.,https://www.nytimes.com/reuters/2019/04/11/us/11reuters-usa-weather.html
0,1,"Spring Snow Falls in New England, U.S. Midwest Prepares for Blizzard",2019-04-09T01:04:40+0000,New England states enjoying the first signs of spring were hit with a wintry blast of snow on Monday and parts of the U.S. Midwest prepared for a blizzard.,https://www.nytimes.com/reuters/2019/04/08/us/08reuters-usa-weather.html
1,2,"Blizzard Barrels Through U.S. Great Plains, Threatening New Floods",2019-04-10T06:16:34+0000,"A ""bomb cyclone"" blizzard swept out of the Rockies into the Great Plains on Wednesday, leading the Colorado governor to activate the National Guard and prompting fears of more flooding in areas still recovering from a deluge last month.",https://www.nytimes.com/reuters/2019/04/10/us/10reuters-usa-weather.html
1,3,Blizzard Forces Closure of Some U.S. Grain Processors and Elevators,2019-04-11T16:41:16+0000,"A second ""bomb cyclone"" blizzard hitting the United States was limiting the movement and processing of corn, soybeans and wheat around the Midwest and Plains on Thursday.",https://www.nytimes.com/reuters/2019/04/11/us/11reuters-usa-weather-crops.html
0,4,"No, Winter Isn’t Over. Hitting the Plains: A Flood and a Blizzard.",2019-03-14T19:16:18+0000,"Rain, melting snow and frozen ground lifted rivers to near-record levels in Nebraska, Iowa and South Dakota, where evacuations were ordered and roads swamped.",https://www.nytimes.com/2019/03/14/us/bomb-cyclone-floods-midwest.html
0,5,Blizzard Hits Central U.S. a Day After States Bask in Spring Sunshine,2019-04-10T15:43:38+0000,"The storm pounded parts of the Rockies and the Plains, dropping temperatures by up to 50 degrees in places like Denver.",https://www.nytimes.com/2019/04/10/us/denver-weather.html
0,6,Rage Within the Machine: Brexit Headline Blizzard Overloads FX Algos,2019-04-04T06:27:59+0000,Brexit is so confusing it's even confounding the robots.,https://www.nytimes.com/reuters/2019/04/04/business/04reuters-sterling-trading-insight.html
1,7,Powerful Storm Threatens More Misery in Flood-Hit Midwest,2019-04-08T20:58:04+0000,The system is expected to dump significant snow and rain this week on a region that is still struggling to recover from devastating floods.,https://www.nytimes.com/2019/04/08/us/winter-storm-wesley.html
0,8,"Robert Blizzard, Who Gave Children Hormones to Grow, Dies at 94",2018-07-23T19:54:10+0000,"A pediatric pioneer, he liked to say he had added 11 miles to the height of the U.S. population. But growth hormones were later banned and replaced.",https://www.nytimes.com/2018/07/23/obituaries/robert-blizzard-who-gave-children-hormones-to-grow-dies-at-94.html
0,9,Think Snowstorms Are Rough Now? Check Out These Vintage New York Blizzards,2019-01-18T18:30:12+0000,Severe winter weather was bad for the people and worse for the horses.,https://www.nytimes.com/2019/01/18/nyregion/vintage-new-york-blizzards-photos.html
1,10,Over 700 Flights Canceled for Midwest Snowstorm,2018-11-26T00:55:09+0000,"A snowstorm in the Midwest grounded flights out of Kansas City and Chicago, causing a nightmare on the busiest travel weekend of the year.",https://www.nytimes.com/2018/11/25/us/kansas-missouri-illinois-blizzard-warning.html
0,11,"Russia, the Blizzard of Lies",2017-10-20T13:08:16+0000,"Yes, all the lies are exhausting to follow. But the ones about Russia are in a special category",https://www.nytimes.com/2017/10/20/opinion/russia-investigation-trump.html
0,12,New Taliban Attacks Kill Dozens of Afghan Soldiers and Police Officers,2018-09-10T09:45:25+0000,"In a second day of serious violence, insurgents struck Afghan forces and captured a northern district.",https://www.nytimes.com/2018/09/10/world/asia/taliban-attacks-afghanistan.html
0,13,"Iranians Prayed for Rain, but Were Covered in Snow",2018-01-28T15:43:41+0000,"The country has been gripped by a terrible drought, so a blizzard brought joy — although the relief was most likely only temporary.",https://www.nytimes.com/2018/01/28/world/middleeast/iran-tehran-snow-drought.html
0,14,New York to Blizzard 2018: ‘Bring It’,2018-01-04T21:09:31+0000,Here’s what New York City looked liked on Instagram as a powerful storm brought bitter cold and strong winds to the region.,https://www.nytimes.com/video/climate/100000005644172/new-york-to-blizzard-2018-bring-it.html
0,15,Overwatch Bets Gaming Fans Will Cheer for the Home Team to Save the World,2018-09-14T17:04:28+0000,"By branding its franchises to represent cities from Boston to Shanghai, a video game attracted investment from professional sports executives.",https://www.nytimes.com/2018/09/14/business/overwatch-league-blizzard-cities.html
1,16,"Winter Storm Pounds Northeast With Wind, Snow and Flooding",2018-01-04T15:27:12+0000,"Airports shut down, schools closed and cars slid off roads during winter’s first major storm. Officials fear the worst is ahead as bone-chilling cold moves in.",https://www.nytimes.com/2018/01/04/nyregion/snow-storm-schools-trains-roads.html
0,17,"Video Game Stocks Get Clobbered, and Fortnite Is to Blame",2019-02-06T20:39:53+0000,Fortnite’s popularity continues to weigh on the performance of traditional video game makers.,https://www.nytimes.com/2019/02/06/business/dealbook/electronic-arts-take-two-fortnite-earnings.html
