y_label,,headline,pub_date,snippet,web_url
1,0,Series of Weak Earthquakes Hit South Alabama,2019-04-12T13:03:58+0000,A series of small earthquakes hit south Alabama within hours of each other near the Florida line.,https://www.nytimes.com/aponline/2019/04/12/us/ap-us-alabama-earthquakes.html
0,1,Alex Muyl Scores Twice as Red Bulls Awaken and Rout Earthquakes,2019-03-16T23:13:06+0000,"The Red Bulls, who had the best record in M.L.S. last season, trailed at halftime against the team with the worst.",https://www.nytimes.com/2019/03/16/sports/mls-red-bulls-earthquakes.html
1,2,5.3-Magnitude Earthquake Strikes Central Greece,2019-03-30T11:42:43+0000,The Athens Geodynamic Institute says an earthquake with a magnitude of 5.3 has struck central Greece.,https://www.nytimes.com/aponline/2019/03/30/world/europe/ap-eu-greece-earthquake.html
1,3,6.2-Magnitude Earthquake Hits Coast of Ecuador,2019-03-31T08:22:10+0000,"LONDON - A 6.2 magnitude earthquake struck 27 kilometers (17 miles) north of the city of Santa Elena on the coast of Ecuador on Sunday, the U.S. Geological Survey (USGS) said.",https://www.nytimes.com/reuters/2019/03/31/world/americas/31reuters-quake-ecuador.html
1,4,"Magnitude 5.2 Earthquake Rocks Iran's West, No Casualties",2019-04-01T11:54:46+0000,Iran's seismology center says a magnitude 5.2 earthquake has rocked the country's west on the Iran-Iraq border.,https://www.nytimes.com/aponline/2019/04/01/world/middleeast/ap-ml-iran-earthquake.html
0,5,Espinoza Lead Earthquakes Over Timbers 3-0,2019-04-09T15:56:00+0000,Cristian Espinoza had a goal and an assist on Saturday night and the San Jose Earthquakes earned their first points of the season with a 3-0 win over the Portland Timbers.,https://www.nytimes.com/aponline/2019/04/09/sports/soccer/bc-soc-mls-timbers-earthquakes.html
1,6,Magnitude 4.7 Earthquake Hits Near Southwest Alaska Island,2019-04-09T18:31:03+0000,The U.S. Geological Survey says a magnitude 4.7 earthquake hit an area near an island in southwest Alaska.,https://www.nytimes.com/aponline/2019/04/09/us/ap-us-alaska-earthquake.html
1,7,Small Earthquake Rattles Los Angeles Suburb; No Injuries Reported,2019-04-03T13:12:56+0000,"A 3.5-magnitude earthquake struck Southern California early on Wednesday, shaking houses and rattling Californians east of Los Angeles from their sleep but causing no reported injuries or significant property damage.",https://www.nytimes.com/reuters/2019/04/03/us/03reuters-california-quake.html
1,8,Magnitude 6.1 Earthquake Hits Papua New Guinea-USGS,2019-03-30T11:49:05+0000,"A magnitude 6.4 earthquake hit Papua New Guinea's New Britain island, 186 km (115 miles) east of Kandrian, on Saturday, the U.S. Geological Survey said.",https://www.nytimes.com/reuters/2019/03/30/world/30reuters-papua-quake.html
1,9,"Tennessee Earthquake, Strongest in Decades, Jolts Homes in the Region and Atlanta",2018-12-12T12:45:04+0000,"The 4.4-magnitude earthquake hit around 4:14 a.m. near the rural city of Decatur, Tenn., sending ripples throughout the state. There were no reports of serious damage.",https://www.nytimes.com/2018/12/12/us/tennessee-earthquake-atlanta.html
0,10,A.I. Is Helping Scientists Predict When and Where the Next Big Earthquake Will Be,2018-10-26T09:00:07+0000,Scientists have a miserable record of predicting where and when earthquakes will strike. Some are now turning to artificial intelligence for answers.,https://www.nytimes.com/2018/10/26/technology/earthquake-predictions-artificial-intelligence.html
0,11,"China Experiences a Fracking Boom, and All the Problems That Go With It",2019-03-08T09:00:10+0000,A series of three earthquakes in the heart of China’s fracking country has raised fears among residents of the technology’s impact.,https://www.nytimes.com/2019/03/08/world/asia/china-shale-gas-fracking.html
1,12,Road Crumbles After 7.0-Magnitude Earthquake in Alaska,2018-11-30T19:35:40+0000,"The powerful earthquake caused damage to roads and buildings in Anchorage and nearby areas. The National Weather Service issued a tsunami warning for parts of Alaska, but later canceled it.",https://www.nytimes.com/video/us/100000006240660/earthquake-alaska-damage.html
0,13,"When Earthquakes Liquefy Soil, Devastation Can Follow",2018-10-01T22:22:28+0000,"It’s called liquefaction, and it causes soil to flow like a liquid. When that happens, the soil can no longer support the structures on top of it.",https://www.nytimes.com/2018/10/01/world/liquefaction-earthquakes.html
0,14,How to Help Survivors of the Indonesia Earthquake and Tsunami,2018-10-02T17:45:22+0000,"Indonesia was struck by twin disasters, an earthquake and a tsunami, and more than 1,200 people are dead. Here’s some advice on where to donate.",https://www.nytimes.com/2018/10/02/reader-center/donate-indonesia-tsunami-earthquake-victims.html
