y_label,,headline,pub_date,snippet,web_url
0,0,Flood Insurance: Knowing When the Risk Justifies the Cost,2018-11-16T07:00:04+0000,"The danger of coastal flooding continues to rise. So, too, does the price of flood insurance, which you may be required to buy even when it’s not necessary.",https://www.nytimes.com/2018/11/16/business/flood-insurance-flood-zones-requirements.html
0,1,"Why Is There Flooding in Nebraska, South Dakota, Iowa and Wisconsin?",2019-03-18T17:09:08+0000,"When a warm rain fell on a flat, frozen landscape, “the ingredients were in place.”",https://www.nytimes.com/2019/03/18/us/nebraska-flooding-facts.html
1,2,Flash Flooding in Indonesia Kills at Least 50,2019-03-17T05:49:17+0000,"The number of victims is expected to rise as rescuers search for survivors in Sentani, a town in the province of Papua that was flooded Saturday.",https://www.nytimes.com/2019/03/17/world/asia/indonesia-flash-floods-papua.html
1,3,Iran Expands Evacuations as Rains Worsen Floods,2019-04-06T05:00:55+0000,"Iran moved on Saturday to evacuate more towns and villages threatened by floods after continued rain in the southwest of the country, state television reported, as the nationwide toll from the flooding reached 70.",https://www.nytimes.com/reuters/2019/04/06/world/middleeast/06reuters-iran-floods.html
0,4,"Millions of Carolina Homes Are at Risk of Flooding. Only 335,000 Have Flood Insurance. ",2018-09-19T19:47:07+0000,Here’s why the federal flood insurance program won’t pick up the slack.,https://www.nytimes.com/2018/09/19/business/flood-insurance-florence.html
1,5,Iran Reports Massive Flood Damage to Farms,2019-04-04T15:46:38+0000,"Flooding has caused hundreds of millions of dollars of damage to Iranian agriculture, an official said on Thursday, as the parliament speaker questioned whether government funds would be adequate to compensate communities and farmers.",https://www.nytimes.com/reuters/2019/04/04/world/middleeast/04reuters-iran-floods.html
0,6,This Is Not the Way to Stop Homes From Flooding,2018-08-15T19:44:48+0000,The federal government is considering a plan that could cost taxpayers more money and encourage land speculation without addressing the problem.,https://www.nytimes.com/2018/08/15/opinion/fema-flooding-development-buyout.html
0,7,Flood Protection Is Too Expensive for Many Vulnerable Towns,2019-04-11T14:48:58+0000,Small towns on some of the nation's most flood-prone rivers are struggling to afford flood-protection systems.,https://www.nytimes.com/aponline/2019/04/11/us/ap-us-flooding-unprotected-towns.html
0,8,Iran Says Trump’s Sanctions Have Frustrated Flood Relief Efforts,2019-04-02T19:33:24+0000,Iran said sanctions renewed by Mr. Trump had impeded international aid groups from sending assistance to victims. The State Department denied the accusation.,https://www.nytimes.com/2019/04/02/world/middleeast/iran-floods-trump-sanctions.html
0,9,What Makes a Catastrophic Flood? And Is Climate Change Causing More of Them?,2019-03-22T19:03:46+0000,"Floods are complicated. But here are simple answers to questions about flooding, climate change and staying safe when the water rises.",https://www.nytimes.com/2019/03/22/climate/what-causes-floods.html
