,,headline,pub_date,snippet,web_url
1,0,The Latest: Tornado Confirmed in Alabama,2019-04-11T16:49:05+0000,The Latest on severe weather in the Southeast (all times local):,https://www.nytimes.com/aponline/2019/04/11/us/ap-us-deep-south-severe-weather-the-latest.html
1,1,"Spring Snowstorm Buries Midwest, Tornadoes Possible in South",2019-04-12T14:09:58+0000,"Strong winds and more snow hit the Midwest on Friday following a spring storm that buried several states in snow, while forecasters warned churches in the South to prepare for strong thunderstorms and potential weekend tornadoes.",https://www.nytimes.com/aponline/2019/04/12/us/ap-us-severe-weather.html
1,2,"Tornadoes Kill at Least 23 in Alabama, Official Says",2019-03-04T00:39:52+0000,"The tornadoes that struck Alabama, Georgia and Florida on Sunday uprooted trees and blasted through homes, video and photographs showed.",https://www.nytimes.com/2019/03/03/us/tornado-alabama-georgia-deaths.html
0,3,Alabama Tornado Among the Region’s Worst in 30 Years,2019-03-05T23:52:52+0000,Sunday’s tornadoes near Beauregard struck an area that rarely sees such strong storms.,https://www.nytimes.com/interactive/2019/03/05/us/alabama-tornadoes-strength.html
0,4,"When a Tornado Hits Your Hometown, and All You Can Do Is Help Cover It",2019-03-06T10:00:09+0000,An editor born and raised in Alabama struggles with being so far away when her community and family face such tragedy.,https://www.nytimes.com/2019/03/06/reader-center/alabama-tornado-coverage.html
0,5,Exclusive: Germany Sees 8.86 Billion Euro Cost to Operate Tornado Jets to 2030,2019-04-10T17:07:27+0000,"The German Defence Ministry estimates it will cost nearly 9 billion euros to keep its aging fleet of 93 Tornado fighter jets flying until 2030, according to a classified document provided to German lawmakers this week.",https://www.nytimes.com/reuters/2019/04/10/world/europe/10reuters-germany-fighter-tornado-exclusive.html
1,6,New Storm Threat in Alabama as Search for Tornado Missing Ends,2019-03-06T17:57:06+0000,"The authorities in Lee County, Ala., where 23 people were killed, said no one remained missing. But forecasters said the weekend could bring more severe weather.",https://www.nytimes.com/2019/03/06/us/alabama-tornado.html
0,7,A Tornado Warning Gave Alabamians 12 Minutes to Prepare. 23 People Died Anyway.,2019-03-05T18:00:37+0000,"A warning for the ferocious tornado was issued quickly. But in a place with widespread poverty and few places to hide, it could not save everyone.",https://www.nytimes.com/2019/03/05/us/alabama-tornado-victims.html
0,8,A Tornado Took On New York. The Tornado Didn’t Last Long.,2018-08-03T16:01:14+0000,"A tornado touched down in Queens on Thursday, tearing down trees. There were no reported injuries. The warning, however, inspired jokes on social media.",https://www.nytimes.com/2018/08/03/nyregion/tornado-warning-nyc-twitter-response.html
0,9,"Tornadoes, Donald Trump, Michael Jackson: Your Monday Briefing",2019-03-04T10:30:30+0000,Here’s what you need to know.,https://www.nytimes.com/2019/03/04/briefing/tornadoes-donald-trump-michael-jackson.html
0,10,"As Tornadoes Roared Across Alabama, ‘There Wasn’t Even Time to Be Afraid’",2019-03-05T01:27:37+0000,"A warning, and then winds of about 170 miles per hour cut a swath of destruction across Alabama, killing at least 23 and injuring dozens of others.",https://www.nytimes.com/2019/03/04/us/alabama-tornadoes.html
0,11,"Tornadoes, Hickenlooper, China: Your Monday Evening Briefing",2019-03-04T23:22:10+0000,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2019/03/04/briefing/tornadoes-hickenlooper-china.html
0,12,"Trump Surveys Tornado Damage in Alabama, and Signs Some Bibles, Too",2019-03-08T20:08:42+0000,"President Trump’s visit to Beauregard came after a tornado killed 23 people, and offered him a chance to act as consoler in chief — a role in which he has sometimes struggled.",https://www.nytimes.com/2019/03/08/us/trump-alabama.html
0,13,Tornadoes on the East Coast May Be a Sign of Things to Come,2018-08-08T14:24:55+0000,Is climate change making tornadoes more common in places where they once were infrequent?,https://www.nytimes.com/2018/08/08/climate/tornadoes-climate-change.html
0,14,‘It Was Like a Turbine’: Havana Residents React to Deadly Tornado,2019-01-28T19:11:59+0000,"“It took everything,” one Havana resident said after a tornado hit Cuba’s capital. Another described cars tumbling down streets and roofs falling off buildings.",https://www.nytimes.com/video/world/americas/100000006329632/havana-cuba-tornado.html
0,15,Fighting Cancer by Chasing Tornadoes,2018-06-05T19:21:01+0000,"After Mark Zabawa was told he had lung cancer, he started chasing tornadoes.",https://www.nytimes.com/2018/06/05/opinion/lung-cancer-chasing-tornadoes-storms.html
0,16,Tell Us 5 Things About Your Book: A Dangerous Journey Into the Heart of Tornadoes,2018-04-29T15:00:01+0000,"Brantley Hargrove’s “The Man Who Caught the Storm” recounts the life of Tim Samaras, a tornado chaser who designed probes that revolutionized science before he was killed doing what he loved in 2013.",https://www.nytimes.com/2018/04/29/books/man-who-caught-storm-tim-samaras-brantley-hargrove-interview.html
0,17,A Fire Tornado Hit Their Neighborhood. This Is All That’s Left.,2018-08-05T00:20:08+0000,"The devastating Carr Fire continues to burn through parts of Northern California. We visited the town of Redding, where the high winds and flames left some areas barely recognizable. Examine the damage using augmented reality.",https://www.nytimes.com/interactive/2018/08/04/us/carr-fire-ar-ul.html
0,18,Winter Storm Makes Travel Treacherous and Is Expected to Worsen as It Moves East,2019-01-19T15:59:15+0000,The storm canceled thousands of flights and busted plans for the three-day weekend across much of the country.,https://www.nytimes.com/2019/01/19/us/snow-winter-storm.html
0,19,"Oklahoma City, the Ultimate ‘Boom Town,’ Rendered Vivid and Surreal",2018-08-21T15:45:19+0000,"In Sam Anderson’s new history of “the great minor city of America,” he tells a story that extends from the famous 1889 land rush to the saga of the Thunder.",https://www.nytimes.com/2018/08/21/books/review/boom-town-sam-anderson.html
1,20,4 Dead After Tornadoes and Floods Rip Through Central and Southern States,2018-02-26T00:27:26+0000,"Tornadoes at this time of year are not unheard-of, officials said, noting that 57 people in four states were killed by tornadoes in early February 2008.",https://www.nytimes.com/2018/02/25/us/storm-rain-flood-tornado.html
0,21,"Tornado Black, Tennis Prodigy, Sidelined by an Operation’s High Cost",2017-09-05T06:00:22+0000,A once-promising star is giving tennis lessons instead of playing professionally because she can’t afford a hip operation.,https://www.nytimes.com/2017/09/05/sports/tennis/tornado-alicia-black.html
0,22,Three Children Are Among 23 People Killed by Storms in Southeast,2019-03-04T13:28:29+0000,Search-and-rescue workers raced on Monday to help the rural Alabama communities that had been ravaged by tornadoes. Officials said they expected the death toll to rise.,https://www.nytimes.com/2019/03/04/us/alabama-tornado.html
0,23,At Least 5 Are Killed in Tornadoes in East Texas,2017-04-30T05:43:03+0000,"Three tornadoes touched down east of Dallas, flipping cars, knocking down trees and destroying homes, the authorities said.",https://www.nytimes.com/2017/04/30/us/east-texas-tornadoes-canton-van-zandt.html
0,24,"The Latest: Midwest Digs Out, South Braces for Its Own Storm",2019-04-12T18:04:00+0000,The Latest on severe spring storm (all times local):,https://www.nytimes.com/aponline/2019/04/12/us/ap-us-severe-weather-the-latest.html
0,25,A Deadly Tornado’s Destruction,2017-01-24T05:01:52+0000,"See the devastation in Hattiesburg, Miss., after a tornado ripped through early Saturday, killing four people, injuring more than 20 others, and destroying homes and businesses during a weekend of deadly storms throughout the South.",https://www.nytimes.com/video/us/100000004888857/a-deadly-tornados-destruction.html
0,26,The Scorched Aftermath of Portugal’s ‘Fire Tornado’,2017-06-20T22:17:09+0000,"This dry region of central Portugal has a culture built on respect and fear of fire, but residents were not expecting one so violent.",https://www.nytimes.com/interactive/2017/06/20/world/europe/portugal-wildfire-firefighters.html
1,27,Tornado Rips Through New Orleans,2017-02-07T21:36:55+0000,"Tornadoes struck the New Orleans area on Tuesday, and residents caught some of the dramatic moments on video.",https://www.nytimes.com/video/us/100000004917991/tornado-rips-through-new-orleans.html
0,28,"Bomb Cyclone' Snow, Wind Impacts Midwest, Great Lakes",2019-04-11T18:11:22+0000,"Heavy snow and strong winds hammered parts of the central U.S. on Thursday and began moving into the Great Lakes region, knocking out power to tens of thousands of people and creating hazardous travel conditions a day after pummeling Colorado.",https://www.nytimes.com/aponline/2019/04/11/us/ap-us-spring-flooding.html
0,29,Poor Weather Spoils Getaway Day for Holiday Travelers in U.S.,2018-12-21T18:32:39+0000,"It’s the shortest day of 2018, but for holiday travelers and for some residents in Washington State and Florida, it could feel like one of the longest.",https://www.nytimes.com/2018/12/21/us/poor-weather-spoils-getaway-day-for-holiday-travelers-in-us.html
0,30,A Night of Tornadoes: 3 Are Dead as Storms Sweep the Midwest,2017-03-01T22:58:16+0000,At least three people were killed during severe weather that extended into Wednesday. Forecasters said the Mid-Atlantic and Deep South were also at risk for dangerous conditions.,https://www.nytimes.com/2017/03/01/us/tornadoes-weather-midwest-storms.html
